cell	name	r1_n	r1_mean	r1_sd	r2_n	r2_mean	r2_sd	r3_n	r3_mean	r3_sd	all_n	all_mean	all_sd
gpt-5-direct	GPT-5 (direct)	25	2.960	2.031	25	4.920	4.092	25	3.560	3.917	75	3.813	3.525
gpt-5-codex-direct	GPT-5-codex (direct)	25	1.720	1.990	25	1.720	1.370	25	1.880	2.619	75	1.773	2.031
gpt-5-1-direct	GPT-5.1 (direct)	25	2.200	2.930	25	2.080	2.235	25	1.600	1.555	75	1.960	2.292
gpt-5-1-codex-direct	GPT-5.1-codex (direct)	25	6.840	24.380	25	2.720	3.103	25	2.760	5.644	75	4.107	14.492
gpt-5-2-direct	GPT-5.2 (direct)	25	3.520	3.124	25	3.520	3.980	25	2.320	2.410	75	3.120	3.242
gpt-5-2-codex-direct	GPT-5.2-codex (direct)	25	2.280	1.948	25	2.640	2.612	25	2.040	1.428	75	2.320	2.041
gpt-5-3-direct	GPT-5.3 (direct)	25	2	3.202	25	1.400	1.291	25	1.920	2.379	75	1.773	2.403
gpt-5-3-codex-direct	GPT-5.3-codex (direct)	25	2.960	2.937	25	3.720	3.007	25	2.960	2.557	75	3.213	2.825
gpt-5-5-direct	GPT-5.5 (direct)	25	5.960	8.116	25	4.600	3.266	25	5.680	4.802	75	5.413	5.714
gpt-5-5-or	GPT-5.5 (OR)	25	4.160	3.567	25	6.160	7.209	25	6.320	7.835	75	5.547	6.471
