model	probe	provider_a	provider_b	t	p_raw	p_bonf	q_fdr	cohens_d
deepseek/deepseek-v4-pro	freeflow	atlascloud	gmicloud	-1.028	0.3052	1	0.7705	-0.131
deepseek/deepseek-v4-pro	freeflow	atlascloud	novita	-1.687	0.09292	1	0.7705	-0.216
deepseek/deepseek-v4-pro	freeflow	atlascloud	parasail	-0.604	0.5464	1	0.8196	-0.077
deepseek/deepseek-v4-pro	freeflow	atlascloud	siliconflow	-1.136	0.2572	1	0.7705	-0.144
deepseek/deepseek-v4-pro	freeflow	atlascloud	together	-0.182	0.8555	1	0.8937	-0.023
deepseek/deepseek-v4-pro	freeflow	gmicloud	novita	-0.695	0.4876	1	0.8196	-0.089
deepseek/deepseek-v4-pro	freeflow	gmicloud	parasail	0.341	0.7337	1	0.8466	0.043
deepseek/deepseek-v4-pro	freeflow	gmicloud	siliconflow	-0.395	0.693	1	0.8466	-0.050
deepseek/deepseek-v4-pro	freeflow	gmicloud	together	0.918	0.3596	1	0.7705	0.117
deepseek/deepseek-v4-pro	freeflow	novita	parasail	0.978	0.3289	1	0.7705	0.124
deepseek/deepseek-v4-pro	freeflow	novita	siliconflow	0.134	0.8937	1	0.8937	0.017
deepseek/deepseek-v4-pro	freeflow	novita	together	1.618	0.1072	1	0.7705	0.206
deepseek/deepseek-v4-pro	freeflow	parasail	siliconflow	-0.636	0.5254	1	0.8196	-0.080
deepseek/deepseek-v4-pro	freeflow	parasail	together	0.476	0.6347	1	0.8466	0.060
deepseek/deepseek-v4-pro	freeflow	siliconflow	together	1.051	0.2949	1	0.7705	0.133
minimax/minimax-m2.7	freeflow	minimax	together	1.287	0.1994	0.1994	0.1994	0.165
z-ai/glm-4.5	freeflow	novita	zai	0.292	0.7709	0.7709	0.7709	0.037
z-ai/glm-4.6	freeflow	atlascloud	deepinfra	0.213	0.8319	1	0.9278	0.027
z-ai/glm-4.6	freeflow	atlascloud	novita	-0.169	0.866	1	0.9278	-0.021
z-ai/glm-4.6	freeflow	atlascloud	siliconflow	2.076	0.03923	0.5885	0.1471	0.263
z-ai/glm-4.6	freeflow	atlascloud	venice	0.689	0.4914	1	0.8963	0.087
z-ai/glm-4.6	freeflow	atlascloud	zai	0.243	0.8083	1	0.9278	0.031
z-ai/glm-4.6	freeflow	deepinfra	novita	-0.444	0.6573	1	0.8963	-0.056
z-ai/glm-4.6	freeflow	deepinfra	siliconflow	2.181	0.03022	0.4533	0.1471	0.276
z-ai/glm-4.6	freeflow	deepinfra	venice	0.552	0.5817	1	0.8963	0.070
z-ai/glm-4.6	freeflow	deepinfra	zai	0.028	0.9777	1	0.9777	0.004
z-ai/glm-4.6	freeflow	novita	siliconflow	2.787	0.005764	0.08646	0.08646	0.353
z-ai/glm-4.6	freeflow	novita	venice	0.957	0.3395	1	0.8487	0.121
z-ai/glm-4.6	freeflow	novita	zai	0.491	0.6239	1	0.8963	0.062
z-ai/glm-4.6	freeflow	siliconflow	venice	-1.259	0.2094	1	0.6281	-0.159
z-ai/glm-4.6	freeflow	siliconflow	zai	-2.260	0.02473	0.371	0.1471	-0.286
z-ai/glm-4.6	freeflow	venice	zai	-0.543	0.5875	1	0.8963	-0.069
z-ai/glm-4.7	freeflow	atlascloud	cerebras	-0.973	0.3315	1	0.6607	-0.123
z-ai/glm-4.7	freeflow	atlascloud	deepinfra	-1.314	0.1899	1	0.593	-0.166
z-ai/glm-4.7	freeflow	atlascloud	google	-1.292	0.1977	1	0.593	-0.163
z-ai/glm-4.7	freeflow	atlascloud	novita	-0.762	0.4466	1	0.7923	-0.096
z-ai/glm-4.7	freeflow	atlascloud	parasail	0.036	0.9712	1	0.9786	0.005
z-ai/glm-4.7	freeflow	atlascloud	phala	-2.003	0.04632	1	0.2978	-0.253
z-ai/glm-4.7	freeflow	atlascloud	siliconflow	0.989	0.3238	1	0.6607	0.125
z-ai/glm-4.7	freeflow	atlascloud	venice	-1.065	0.288	1	0.6607	-0.135
z-ai/glm-4.7	freeflow	atlascloud	zai	-1.423	0.1559	1	0.593	-0.180
z-ai/glm-4.7	freeflow	cerebras	deepinfra	-0.508	0.612	1	0.8346	-0.064
z-ai/glm-4.7	freeflow	cerebras	google	-0.605	0.5458	1	0.7923	-0.077
z-ai/glm-4.7	freeflow	cerebras	novita	0.112	0.9106	1	0.9756	0.014
z-ai/glm-4.7	freeflow	cerebras	parasail	1.025	0.3066	1	0.6607	0.130
z-ai/glm-4.7	freeflow	cerebras	phala	-1.231	0.2195	1	0.606	-0.156
z-ai/glm-4.7	freeflow	cerebras	siliconflow	2.264	0.02448	1	0.2754	0.286
z-ai/glm-4.7	freeflow	cerebras	venice	-0.344	0.7311	1	0.8892	-0.044
z-ai/glm-4.7	freeflow	cerebras	zai	-0.658	0.5115	1	0.7923	-0.083
