model	probe	provider	n	composite_total	mean	std	per25	bin
deepseek/deepseek-v4-pro	freeflow	atlascloud	121	198	1.636	2.240	40.9	in
deepseek/deepseek-v4-pro	freeflow	gmicloud	124	241	1.944	2.437	48.6	in
deepseek/deepseek-v4-pro	freeflow	novita	123	267	2.171	2.691	54.3	in
deepseek/deepseek-v4-pro	freeflow	parasail	124	227	1.831	2.772	45.8	in
deepseek/deepseek-v4-pro	freeflow	siliconflow	125	264	2.112	4.088	52.8	in
deepseek/deepseek-v4-pro	freeflow	together	124	209	1.685	1.965	42.1	in
minimax/minimax-m2	freeflow	atlascloud	120	201	1.675	2.564	41.9	in
minimax/minimax-m2	freeflow	google	119	478	4.017	5.293	100.4	in
minimax/minimax-m2	freeflow	minimax	116	145	1.250	2.631	31.2	in
minimax/minimax-m2	freeflow	novita	113	119	1.053	1.245	26.3	in
minimax/minimax-m2.7	freeflow	minimax	122	168	1.377	1.668	34.4	in
minimax/minimax-m2.7	freeflow	together	122	135	1.107	1.615	27.7	in
z-ai/glm-4.5	freeflow	novita	125	208	1.664	2.571	41.6	in
z-ai/glm-4.5	freeflow	zai	125	194	1.552	3.439	38.8	in
z-ai/glm-4.6	freeflow	atlascloud	125	240	1.920	2.975	48.0	in
z-ai/glm-4.6	freeflow	deepinfra	125	231	1.848	2.345	46.2	in
z-ai/glm-4.6	freeflow	novita	125	247	1.976	2.209	49.4	in
z-ai/glm-4.6	freeflow	siliconflow	125	161	1.288	1.655	32.2	in
z-ai/glm-4.6	freeflow	venice	125	208	1.664	2.899	41.6	in
z-ai/glm-4.6	freeflow	zai	125	230	1.840	2.172	46.0	in
z-ai/glm-4.7	freeflow	atlascloud	125	189	1.512	1.767	37.8	in
z-ai/glm-4.7	freeflow	cerebras	125	214	1.712	1.469	42.8	in
z-ai/glm-4.7	freeflow	deepinfra	125	228	1.824	1.980	45.6	in
z-ai/glm-4.7	freeflow	google	125	234	1.872	2.565	46.8	in
z-ai/glm-4.7	freeflow	novita	125	211	1.688	1.881	42.2	in
z-ai/glm-4.7	freeflow	parasail	125	188	1.504	1.730	37.6	in
z-ai/glm-4.7	freeflow	phala	125	247	1.976	1.894	49.4	in
z-ai/glm-4.7	freeflow	siliconflow	125	165	1.320	1.261	33.0	in
z-ai/glm-4.7	freeflow	venice	125	225	1.800	2.453	45.0	in
z-ai/glm-4.7	freeflow	zai	125	233	1.864	2.126	46.6	in
z-ai/glm-5.1	freeflow	ambient	125	322	2.576	3.570	64.4	in
z-ai/glm-5.1	freeflow	atlascloud	125	306	2.448	2.677	61.2	in
z-ai/glm-5.1	freeflow	chutes	124	278	2.242	2.081	56.0	in
